T,test_error,train_error
1,0.25717999999999996,0.35322000000000003
2,0.2572,0.35312000000000004
3,0.25444000000000006,0.35332
4,0.24727999999999992,0.3463799999999999
5,0.24525999999999995,0.34491999999999984
6,0.24406,0.3454799999999999
7,0.24353999999999995,0.3438800000000001
8,0.24377999999999997,0.34422000000000014
9,0.24390000000000003,0.34443999999999997
10,0.24232000000000006,0.3449800000000002
11,0.24176000000000003,0.34420000000000006
12,0.24148000000000006,0.34414000000000017
13,0.24169999999999997,0.34424000000000005
14,0.2415,0.34382000000000007
15,0.24153999999999998,0.3438800000000001
16,0.24145999999999998,0.34424000000000005
17,0.24104000000000003,0.34376000000000007
18,0.24084,0.3442000000000002
19,0.24072,0.3436800000000001
20,0.24052000000000004,0.3437800000000001
21,0.24048000000000003,0.3438600000000001
22,0.24061999999999995,0.34370000000000006
23,0.24067999999999995,0.3437800000000001
24,0.24033999999999991,0.3439600000000001
25,0.24043999999999993,0.3439000000000001
26,0.24043999999999993,0.3439200000000001
27,0.24043999999999996,0.3439200000000001
28,0.24037999999999995,0.3438800000000001
29,0.24051999999999998,0.34392
